no_plan;nombre_piece;surface_reelle;type_local;surface_carre
162;1;21;Appartement;20.54
301;4;84;Maison;83.48
701;4;72;Maison;81.34
120;1;23;Appartement;21.86
210;2;45;Appartement;46.35
72;3;68;Appartement;72.2
2;3;48;Appartement;96.25
162;1;24;Appartement;20.85
284;4;70;Maison;108
102;1;14;Appartement;14.39
664;1;30;Appartement;30.81
803;2;38;Appartement;31.4
482;2;35;Appartement;30.69
501;1;32;Appartement;34.41
166;3;65;Appartement;63.85
421;2;41;Appartement;42.15
444;2;41;Appartement;41.1
329;2;44;Appartement;44.18
90;5;88;Appartement;84.05
204;1;23;Appartement;60.67
134;2;32;Appartement;31.38
366;4;79;Maison;79.86
222;3;71;Maison;66.68
229;3;58;Appartement;58.13
405;3;69;Maison;69.77
604;3;69;Appartement;70.05
19;3;72;Appartement;71.02
42;5;101;Maison;98.47
115;1;19;Appartement;18.38
326;4;69;Appartement;67.71
264;4;92;Maison;89.05
138;1;24;Appartement;24.62
186;2;36;Appartement;35.29
739;4;115;Maison;122.15
78;4;64;Appartement;63.81
90;1;50;Maison;76.61
745;4;109;Maison;102.01
803;1;24;Appartement;23.36
4;1;80;Appartement;76.7
37;1;21;Appartement;21.52
69;5;115;Appartement;110.61
411;2;50;Appartement;50.13
564;3;55;Appartement;54.3
604;4;92;Appartement;93.02
820;2;42;Appartement;41.98
227;2;40;Appartement;45.55
833;3;84;Appartement;81.49
402;4;78;Appartement;76.88
664;2;50;Appartement;48.16
3;5;90;Appartement;82.18
427;1;36;Appartement;35.62
285;1;60;Appartement;72.83
150;2;59;Appartement;58.21
315;3;65;Appartement;64.89
8;1;20;Appartement;19.41
346;6;108;Maison;107.55
356;1;23;Appartement;40.1
442;6;103;Appartement;107.02
162;1;21;Appartement;20.08
225;2;45;Appartement;51.54
250;1;21;Appartement;21.52
162;1;21;Appartement;20.7
249;2;44;Appartement;44.34
346;2;32;Appartement;32.57
190;4;66;Appartement;65.03
173;4;98;Appartement;100.24
519;2;39;Appartement;54.79
290;3;70;Maison;69.54
274;4;64;Appartement;64.82
11;5;80;Appartement;126.24
460;2;41;Appartement;38.9
47;4;72;Appartement;78.17
10;2;48;Appartement;48.55
48;1;28;Appartement;24.36
69;4;75;Appartement;73.77
557;2;46;Appartement;47.74
1;2;51;Appartement;50.92
189;1;30;Appartement;29.7
189;3;69;Appartement;67.4
375;3;80;Appartement;84.56
217;5;123;Appartement;120.07
274;2;50;Appartement;51.16
219;1;23;Appartement;22.6
142;2;28;Appartement;27.58
219;1;27;Appartement;25.98
207;4;85;Appartement;81.08
554;3;63;Appartement;67.62
16;2;60;Appartement;52.27
106;4;93;Appartement;88.98
278;2;41;Appartement;41.83
242;2;40;Appartement;40.87
144;2;48;Appartement;49.75
182;4;82;Appartement;82.3
193;2;48;Appartement;47.77
309;4;78;Appartement;78.11
100;2;47;Appartement;47.38
421;3;63;Appartement;63.05
253;3;42;Appartement;40.2
150;2;38;Appartement;37.6
147;3;78;Appartement;75.87
442;3;65;Appartement;63.76
274;4;64;Appartement;64.9
1323;4;82;Maison;82.29
34;5;152;Appartement;152.76
7;1;25;Appartement;22.62
15;2;46;Appartement;45.71
102;2;44;Appartement;44.84
295;3;67;Appartement;66.61
232;2;47;Appartement;46.87
90;4;70;Appartement;70.31
75;2;53;Appartement;53.25
252;3;68;Appartement;72.55
62;4;93;Appartement;93.11
496;3;63;Appartement;65.15
225;2;45;Appartement;48.05
165;3;72;Appartement;71.45
147;3;71;Appartement;71.76
783;3;71;Maison;70.71
150;2;33;Appartement;33.65
86;5;84;Appartement;86.42
348;2;46;Appartement;43.71
7;4;82;Appartement;82
571;2;45;Appartement;30.9
572;3;66;Appartement;65.12
181;4;84;Appartement;35.48
620;5;90;Appartement;79.46
150;2;64;Appartement;64.33
596;4;72;Appartement;68.56
150;2;36;Appartement;36.66
166;2;56;Appartement;59.08
147;3;64;Appartement;63.13
598;2;43;Appartement;41.97
106;2;55;Appartement;56.19
395;2;39;Appartement;46.24
145;3;50;Appartement;51.64
674;2;51;Appartement;52.69
90;2;64;Appartement;58.48
193;4;119;Appartement;108.23
226;2;29;Appartement;23.07
87;4;65;Appartement;62.89
182;2;51;Appartement;51.4
100;3;62;Appartement;62.1
90;4;70;Appartement;70.22
69;3;73;Appartement;65.54
158;1;24;Appartement;24.62
521;4;62;Appartement;62.56
344;5;112;Appartement;111.34
620;3;63;Appartement;66.88
50;2;28;Appartement;29.78
302;3;63;Appartement;56.62
199;2;46;Appartement;45.27
94;1;28;Appartement;26.85
120;4;68;Appartement;73.25
219;1;27;Appartement;25.71
90;5;88;Appartement;84.45
227;4;97;Appartement;97.97
228;3;68;Appartement;73.62
428;2;48;Appartement;48.02
167;2;45;Appartement;49.27
167;4;80;Appartement;80.01
118;4;70;Appartement;69.26
991;4;83;Maison;80.19
338;1;14;Appartement;58.89
128;3;67;Appartement;86.92
53;1;23;Appartement;24.41
5;3;66;Maison;68.75
92;1;23;Appartement;35.38
98;2;32;Appartement;25.76
176;2;40;Appartement;39.24
291;2;26;Appartement;18.35
60;2;57;Appartement;54.17
102;1;30;Appartement;25.38
97;4;75;Appartement;80.47
47;3;105;Maison;111.28
795;2;47;Appartement;47.99
313;2;31;Appartement;40.27
86;4;89;Appartement;91.78
428;2;47;Appartement;47.79
1172;2;39;Appartement;63.77
90;5;88;Appartement;85.76
1238;4;58;Appartement;63.33
13;3;56;Appartement;53.02
246;3;62;Appartement;58.63
219;1;21;Appartement;20.75
91;2;40;Appartement;39.62
346;5;93;Maison;90.25
102;3;120;Appartement;128.65
42;2;53;Appartement;54.23
73;2;33;Appartement;34.1
238;2;80;Appartement;75.32
154;2;41;Appartement;39.59
131;1;43;Appartement;42.26
42;5;101;Maison;100.52
579;3;66;Appartement;65.38
39;1;22;Appartement;22.67
327;3;71;Appartement;71.83
162;1;24;Appartement;23.8
192;3;59;Appartement;57.02
138;1;21;Appartement;20.55
1354;4;92;Maison;92.78
4;4;77;Appartement;77.26
47;4;76;Appartement;76.99
304;1;18;Appartement;17.44
234;2;49;Appartement;49.31
315;2;55;Appartement;54.79
301;2;41;Appartement;41.3
131;1;27;Appartement;26.09
78;3;68;Maison;78.52
822;2;42;Appartement;41.98
131;3;69;Appartement;70.34
38;2;32;Appartement;31.33
410;1;29;Appartement;29.88
390;2;46;Appartement;46.25
178;1;21;Appartement;22.06
42;2;46;Appartement;44.2
557;3;57;Maison;56.21
682;1;18;Appartement;17.88
353;1;18;Appartement;18.7
242;3;54;Appartement;54.17
310;2;38;Maison;33.9
520;2;34;Appartement;35.9
186;3;60;Appartement;60.6
407;5;75;Appartement;77.19
249;3;62;Appartement;61.83
730;2;60;Appartement;58.17
34;3;70;Maison;67.28
187;4;105;Appartement;101.86
434;3;36;Appartement;36.06
442;5;94;Appartement;98.65
254;1;25;Appartement;24.31
8;2;61;Appartement;61.92
991;3;68;Maison;68.51
383;3;40;Appartement;46.26
210;3;70;Appartement;67.83
61;2;35;Appartement;38.79
162;1;21;Appartement;20.62
172;4;62;Appartement;62.06
289;1;31;Appartement;29.81
396;3;50;Appartement;57.5
96;4;98;Maison;98.74
72;2;50;Appartement;50.42
195;2;54;Appartement;60.8
1551;3;60;Appartement;58.22
148;2;42;Maison;42
3;1;31;Appartement;31.12
1;4;81;Maison;103.36
163;2;46;Appartement;47.34
541;4;80;Appartement;78.4
454;4;83;Maison;88.19
178;5;86;Appartement;89.25
133;2;55;Appartement;55.03
229;1;13;Appartement;13.98
797;2;65;Appartement;62.55
162;2;44;Appartement;44.12
82;3;64;Appartement;52
406;2;41;Appartement;41.12
246;1;21;Appartement;21.93
71;2;45;Appartement;45.56
345;4;80;Maison;86.01
140;2;45;Appartement;46.11
432;1;28;Appartement;28.64
1000;2;51;Appartement;50.63
10;3;66;Maison;66.02
114;9;180;Maison;212.88
189;4;89;Maison;86.92
51;4;63;Maison;89.65
437;3;77;Appartement;73.77
1811;2;51;Appartement;50.87
1811;2;51;Appartement;50.16
277;2;40;Appartement;39.88
211;2;48;Appartement;47.55
1028;2;39;Appartement;40.38
98;5;95;Maison;93.29
346;3;104;Appartement;102.72
191;4;85;Maison;84.99
71;3;80;Maison;61.32
58;3;64;Appartement;66.33
162;1;19;Appartement;19.07
198;2;55;Maison;127.79
470;4;126;Maison;102.35
104;3;85;Appartement;95.46
189;5;90;Maison;88.26
53;2;85;Maison;86.36
320;1;34;Appartement;32.35
91;1;24;Appartement;24.27
155;3;55;Appartement;53.21
352;3;69;Maison;71.51
77;3;65;Appartement;65.24
191;4;83;Maison;82.97
54;1;16;Appartement;16.92
166;2;41;Appartement;39.83
96;2;47;Appartement;47.58
14;2;32;Appartement;32.48
63;2;50;Appartement;50.65
34;3;52;Appartement;52.61
66;2;41;Appartement;41
263;4;91;Maison;94.32
231;3;62;Appartement;65.49
22;2;44;Appartement;44.21
78;3;61;Maison;60.02
429;2;36;Appartement;35.27
223;2;46;Appartement;44.9
409;3;39;Appartement;38.45
140;3;62;Maison;62.19
349;4;89;Appartement;84.14
257;4;73;Maison;74.7
366;4;88;Appartement;88.56
28;3;71;Maison;117.59
431;2;69;Appartement;64.1
148;3;75;Appartement;64.07
148;3;56;Maison;57.44
1582;3;112;Appartement;104.59
1;2;38;Appartement;37.73
781;2;40;Appartement;36
1065;2;39;Appartement;38.95
169;4;57;Maison;57
70;1;26;Appartement;23.9
886;4;91;Appartement;78.54
8;3;63;Maison;62.76
106;2;40;Maison;40.63
113;1;26;Appartement;29.91
177;4;117;Maison;114.34
412;4;86;Appartement;86.45
133;2;48;Appartement;47.69
155;3;74;Appartement;74.92
51;1;18;Appartement;18.13
50;2;48;Appartement;48.67
296;5;95;Appartement;96.31
63;2;43;Appartement;42.66
19;2;34;Appartement;34.04
471;2;38;Appartement;30.6
265;5;82;Maison;83.98
305;4;72;Appartement;78.27
59;3;65;Appartement;64.43
293;2;50;Appartement;52.93
212;1;35;Appartement;63.81
474;5;90;Appartement;92.6
41;3;69;Appartement;68.62
1057;1;29;Appartement;26.26
62;2;50;Appartement;50.08
308;4;74;Appartement;71.69
71;3;80;Maison;66.82
732;4;91;Appartement;100.03
222;2;29;Maison;30.03
231;6;94;Appartement;98.57
163;3;67;Appartement;67.07
115;2;42;Appartement;45.23
6;2;43;Appartement;41.85
86;4;65;Maison;64.75
27;3;62;Maison;63.69
280;3;64;Appartement;55
485;1;30;Appartement;29.9
355;3;47;Appartement;50.33
493;2;44;Appartement;42.6
798;2;30;Appartement;29.62
308;4;74;Appartement;76.65
243;4;76;Maison;76.12
84;4;92;Maison;97.27
106;1;27;Appartement;27.14
183;5;135;Maison;139.77
15;3;58;Appartement;60.09
15;2;38;Appartement;38.18
419;2;42;Appartement;42.94
235;2;50;Appartement;50.61
29;1;50;Appartement;48.6
96;4;84;Maison;82.6
111;1;25;Appartement;24.56
632;2;41;Appartement;44.15
875;1;25;Appartement;25.34
23;4;83;Maison;82.57
1040;1;22;Appartement;22.55
1;3;64;Maison;60.75
673;1;13;Appartement;13.42
32;2;26;Appartement;25
2;2;52;Appartement;51.16
160;3;60;Maison;61.31
202;3;75;Maison;65.75
223;1;22;Appartement;23.6
134;2;41;Appartement;40.04
29;2;65;Maison;67.13
281;4;88;Maison;84.04
39;3;76;Appartement;75.91
277;1;28;Appartement;27.72
512;3;70;Appartement;68.64
9;2;42;Appartement;41.95
768;4;78;Maison;80.93
38;2;53;Appartement;49.4
237;2;44;Appartement;41.04
34;2;32;Appartement;31.71
14;2;49;Appartement;40.59
431;1;37;Appartement;54.02
618;4;82;Appartement;84.52
97;2;42;Appartement;41.41
586;1;22;Appartement;20.19
308;4;74;Appartement;73.05
380;2;40;Appartement;40.14
14;2;43;Appartement;43.78
184;4;70;Appartement;59.72
274;4;74;Maison;72.18
231;3;60;Appartement;59.77
1551;4;84;Maison;85.04
67;1;16;Appartement;25.7
197;2;42;Appartement;42.19
188;3;127;Appartement;86.39
22;3;85;Maison;78.09
276;4;83;Maison;81.44
76;2;38;Maison;38.1
56;3;60;Appartement;59.99
281;2;35;Appartement;35.2
282;5;107;Appartement;97.15
223;1;22;Appartement;19.53
223;1;22;Appartement;23.31
1;2;46;Appartement;47.22
834;2;48;Appartement;50.21
142;1;28;Appartement;26.93
101;1;35;Appartement;35.35
206;3;36;Appartement;42.06
223;1;22;Appartement;22.36
175;5;89;Appartement;87.71
144;3;114;Appartement;101.27
1127;3;64;Appartement;63.8
58;3;64;Appartement;66.91
71;4;120;Maison;88.51
15;3;59;Appartement;58.75
147;3;74;Maison;75.06
213;4;93;Maison;92.25
114;2;49;Appartement;48.87
264;1;32;Appartement;28.11
8;3;68;Maison;68.6
909;3;59;Appartement;58.93
51;1;18;Appartement;17.42
143;2;42;Appartement;41.85
42;5;96;Maison;91.25
35;3;63;Appartement;58.59
5;1;39;Appartement;48.1
275;2;39;Appartement;38.66
848;2;50;Appartement;44.68
383;1;38;Appartement;38.34
91;1;23;Appartement;23.67
215;3;73;Maison;72.31
151;3;65;Maison;64.72
148;2;50;Appartement;50.49
720;3;63;Appartement;71.1
16;2;54;Appartement;53.75
404;3;88;Appartement;85.13
195;4;81;Appartement;80.97
191;2;45;Appartement;46.4
175;5;101;Maison;103
333;2;42;Appartement;42.4
132;3;40;Maison;76.34
77;3;60;Appartement;60.24
51;1;18;Appartement;18.29
186;4;123;Appartement;124.27
34;3;52;Appartement;52.59
509;4;58;Appartement;58.04
121;2;40;Appartement;39.78
556;3;73;Appartement;71.57
327;4;73;Maison;34.5
76;1;32;Appartement;29.98
67;3;68;Appartement;83
32;2;36;Appartement;36.22
19;4;121;Appartement;24.35
199;2;69;Appartement;67.36
213;4;93;Maison;91.9
58;4;90;Appartement;90.13
246;1;24;Appartement;23.84
77;1;28;Appartement;28.25
191;4;79;Maison;80.04
245;3;69;Appartement;70.2
322;4;93;Maison;91.65
69;2;42;Appartement;42.52
111;1;36;Appartement;35.8
65;2;31;Appartement;31.68
629;4;89;Appartement;89.09
352;2;35;Appartement;37
339;2;41;Appartement;41.17
504;2;42;Appartement;43.22
246;1;21;Appartement;22.45
428;4;92;Maison;80
1119;4;95;Maison;193.75
363;2;43;Appartement;42.87
380;2;38;Appartement;38.51
1023;2;39;Appartement;39.21
422;3;59;Appartement;58.06
474;2;42;Appartement;54.89
755;2;42;Appartement;35.6
268;1;19;Appartement;18.29
83;3;72;Appartement;74.32
504;3;60;Appartement;60.58
103;3;66;Appartement;70.73
151;2;47;Appartement;42.85
916;2;56;Appartement;47.56
155;2;31;Appartement;34.13
364;1;24;Appartement;24.22
43;4;90;Maison;90.73
345;4;80;Maison;81.31
172;2;32;Maison;31.91
418;2;43;Appartement;42.62
85;1;66;Appartement;73.4
101;2;48;Appartement;48.42
521;2;45;Appartement;38.5
471;2;28;Appartement;27.31
200;4;76;Appartement;80.2
293;6;102;Appartement;103.58
252;5;91;Appartement;89.04
96;2;51;Appartement;51.71
53;4;76;Maison;91.13
302;3;68;Appartement;68.87
246;2;52;Appartement;51.39
232;3;64;Appartement;63.05
613;1;26;Appartement;27.45
1;3;60;Maison;53.04
11;1;28;Appartement;28.62
311;3;48;Maison;46.1
249;4;81;Maison;78.73
173;3;70;Appartement;124.92
29;2;52;Maison;52.08
330;3;61;Maison;59.45
79;3;53;Appartement;122.62
1;5;129;Maison;118.7
71;2;60;Appartement;59.51
87;1;28;Appartement;28.05
990;4;81;Appartement;80.97
68;3;80;Appartement;81.32
9;1;20;Appartement;20.01
32;2;36;Appartement;35.8
720;4;76;Appartement;75.97
362;3;63;Appartement;63.88
219;4;129;Appartement;122.27
148;4;82;Maison;82.55
9;2;32;Maison;31.99
164;2;27;Appartement;30.59
109;5;105;Maison;119.32
101;2;46;Appartement;46.09
1847;4;79;Maison;76.73
807;3;56;Maison;57.6
750;3;75;Appartement;75.41
2220;2;40;Appartement;40.07
41;2;46;Appartement;47.7
178;3;58;Appartement;55.03
586;2;35;Appartement;35
279;3;64;Appartement;69.51
211;1;22;Appartement;21
132;2;52;Appartement;87.38
380;2;40;Appartement;39.38
179;1;32;Appartement;32.2
815;1;38;Appartement;37.5
23;4;83;Maison;81.73
485;2;41;Appartement;36.52
8;3;37;Maison;38.92
812;3;61;Maison;61.27
101;3;67;Appartement;63.85
89;2;34;Appartement;51.36
32;2;36;Appartement;36.31
52;3;65;Appartement;64.16
43;4;89;Maison;93.38
471;1;28;Appartement;33.3
92;1;16;Appartement;17.25
173;3;60;Appartement;70.22
50;2;47;Maison;74.94
345;3;58;Maison;57.5
474;1;38;Appartement;38.76
194;4;70;Appartement;92.12
189;4;82;Maison;80.99
311;1;28;Appartement;35.18
115;2;35;Appartement;34.08
281;2;41;Appartement;41
246;3;54;Appartement;54.67
11;2;44;Appartement;44.04
783;2;46;Appartement;42.56
155;3;65;Appartement;64.8
305;4;72;Appartement;76.38
98;2;41;Appartement;41.34
28;2;50;Appartement;51.15
1817;2;67;Appartement;55.91
75;2;48;Appartement;42.9
19;3;51;Appartement;54.67
5;1;30;Appartement;29.46
720;5;93;Appartement;97.85
191;3;57;Maison;57.71
726;2;33;Appartement;33.52
185;3;56;Appartement;57.43
100;4;66;Appartement;73.12
1150;3;58;Appartement;71.61
148;3;65;Maison;64.64
349;3;78;Appartement;78.93
322;2;41;Appartement;42.68
554;2;43;Appartement;42.08
31;2;77;Appartement;76.38
69;4;81;Maison;83.27
78;2;36;Appartement;36.89
215;3;67;Appartement;66.65
78;2;41;Appartement;40.39
418;1;29;Appartement;29.43
143;2;42;Appartement;42.22
246;1;42;Appartement;42.08
451;2;38;Appartement;39.32
34;2;41;Appartement;41.29
63;2;47;Appartement;46.63
438;3;66;Appartement;65.81
199;2;44;Appartement;44.4
178;3;60;Appartement;66.51
339;2;41;Appartement;40.81
1;4;105;Maison;107.08
1856;3;70;Maison;69.34
283;5;100;Appartement;103.84
280;3;70;Maison;68.72
469;4;73;Appartement;72.7
36;4;87;Maison;87
51;1;18;Appartement;18.27
188;4;120;Appartement;120.93
145;3;69;Appartement;69.14
169;3;66;Maison;80.48
100;2;54;Appartement;54.34
80;2;39;Appartement;39.42
355;2;59;Appartement;59.69
58;1;16;Appartement;16.94
388;3;71;Appartement;70.29
100;5;104;Maison;88
540;2;41;Appartement;41.58
1040;2;50;Appartement;50.88
308;4;74;Appartement;71.79
998;2;43;Appartement;43.49
339;4;73;Appartement;73.58
189;4;83;Maison;82.07
978;3;72;Maison;71.83
469;4;73;Appartement;71.05
353;1;33;Appartement;38.7
264;2;43;Appartement;48.63
1150;2;43;Appartement;44.5
161;2;47;Appartement;47.3
51;1;18;Appartement;17.58
44;4;95;Appartement;95.74
153;3;73;Appartement;73.33
1;4;81;Maison;84.82
146;2;21;Appartement;21.22
335;4;65;Maison;100.55
613;2;45;Appartement;44.81
320;4;86;Maison;86.98
212;1;33;Appartement;31.06
450;2;44;Appartement;43.5
138;4;84;Maison;84.19
482;1;18;Appartement;17.46
812;2;69;Maison;54.34
567;2;35;Appartement;35.64
567;2;40;Appartement;39.9
193;2;45;Appartement;45.99
671;2;55;Appartement;59.84
55;2;39;Appartement;37.91
170;1;37;Appartement;37.24
267;2;36;Appartement;35.86
117;2;36;Appartement;34.25
101;3;70;Maison;88.87
6;3;66;Appartement;63.08
249;4;77;Appartement;75.19
4;2;42;Appartement;41.62
249;3;66;Appartement;59.27
531;4;83;Maison;82.28
640;1;28;Appartement;28.69
70;2;33;Appartement;33.49
70;2;33;Appartement;33.82
606;2;48;Appartement;49.5
125;2;37;Appartement;37.87
310;3;51;Appartement;62.3
16;3;55;Appartement;54.23
4;4;77;Appartement;75.75
70;3;65;Maison;64.53
777;4;131;Appartement;122.5
482;2;55;Appartement;62.47
1370;5;105;Maison;147.44
802;2;85;Appartement;80
48;4;110;Maison;218.45
302;3;50;Appartement;50.58
7;3;64;Maison;63.65
7;2;39;Appartement;39.05
194;3;55;Appartement;54.17
7;2;44;Appartement;44.45
7;3;63;Appartement;63
93;2;29;Appartement;29
196;3;43;Appartement;42.99
260;2;35;Appartement;35.8
357;2;57;Appartement;56.32
30;4;56;Appartement;51.89
556;4;102;Appartement;98.38
155;2;28;Appartement;27.42
96;3;66;Appartement;65.87
16;3;32;Appartement;35.04
780;2;35;Appartement;34.77
103;3;31;Maison;30.54
3;3;43;Maison;44.56
24;2;25;Appartement;24.92
150;2;57;Appartement;57.82
3;4;51;Maison;52.21
42;3;48;Maison;51.03
24;1;24;Appartement;48.57
155;3;55;Appartement;55.38
155;3;55;Appartement;55.69
130;4;95;Maison;95.52
155;3;55;Appartement;55
208;1;24;Appartement;21.96
7;2;30;Appartement;30.94
155;2;28;Appartement;27.9
10;2;18;Appartement;17.45
1964;3;75;Appartement;74
347;3;35;Appartement;34.93
4;3;43;Appartement;42.61
155;1;19;Appartement;18.9
47;3;76;Appartement;74.32
347;2;35;Appartement;35.49
59;4;92;Appartement;90.51
347;3;35;Appartement;35.13
641;2;24;Appartement;25.01
263;2;33;Appartement;33.09
1311;3;59;Appartement;56.82
780;3;59;Appartement;59
1;4;49;Maison;48.99
16;2;26;Appartement;25.33
347;3;35;Appartement;35.11
93;2;29;Appartement;29.45
21;2;49;Appartement;48.68
45;3;62;Appartement;64.32
10;2;27;Appartement;27.07
25;1;24;Appartement;24.16
7;2;30;Appartement;30.37
23;2;27;Appartement;25.55
362;2;18;Appartement;17.73
107;3;77;Maison;74.37
591;3;56;Appartement;62.11
156;1;19;Appartement;19.1
1;4;44;Appartement;45.28
156;1;18;Appartement;17.1
294;3;63;Appartement;57.67
1311;2;36;Appartement;37.87
93;2;29;Appartement;28.12
301;1;27;Maison;24.27
372;3;35;Maison;33.11
154;3;50;Appartement;51.19
801;2;43;Appartement;43.44
311;1;17;Appartement;17.2
95;3;63;Appartement;63.03
236;1;20;Appartement;22.78
332;2;48;Appartement;48.05
255;1;14;Appartement;13.7
173;2;57;Appartement;55.15
174;3;98;Appartement;97.24
225;2;56;Appartement;57.06
96;3;55;Appartement;52.16
6;2;26;Appartement;26.44
290;4;72;Appartement;65.16
9;1;24;Appartement;22.4
195;3;70;Appartement;70.62
114;5;102;Maison;103.69
549;3;61;Appartement;61.33
56;3;43;Appartement;46.27
366;4;83;Maison;80.83
134;5;109;Appartement;110.18
132;4;80;Appartement;41.14
59;1;22;Appartement;22.88
202;3;60;Appartement;60.98
108;2;35;Appartement;34.8
214;1;24;Appartement;24.24
201;4;177;Appartement;184.2
68;2;94;Maison;97.15
376;1;21;Appartement;20.8
6;1;38;Appartement;38.84
249;3;67;Appartement;67.24
77;3;70;Appartement;80.33
251;5;101;Maison;106.39
107;2;34;Appartement;34
393;3;67;Appartement;67.48
87;2;45;Appartement;43.29
283;3;104;Appartement;107.2
283;4;100;Appartement;100.3
176;1;23;Appartement;22.85
188;2;34;Appartement;35.28
259;6;108;Maison;148.04
448;3;83;Appartement;78.26
552;1;34;Appartement;34.27
230;3;55;Maison;51.36
111;3;65;Appartement;68.5
231;2;43;Appartement;42.85
246;2;47;Appartement;48.05
109;1;23;Appartement;23.57
48;2;22;Appartement;22.03
242;3;70;Appartement;71.56
234;3;43;Appartement;28.22
22;1;19;Appartement;22.1
114;5;110;Maison;107.59
223;2;47;Appartement;46.95
281;4;75;Appartement;74.76
313;4;66;Appartement;69.68
281;1;24;Appartement;23.85
293;3;60;Appartement;63.01
514;1;20;Appartement;19.57
27;2;50;Appartement;52.87
145;6;123;Appartement;166.15
20;1;20;Appartement;20
69;2;47;Appartement;47.72
192;3;57;Appartement;77.39
9;1;25;Appartement;24.71
51;3;67;Appartement;66.45
487;1;31;Appartement;31.35
15;4;70;Appartement;70.5
501;2;55;Appartement;55.98
68;1;22;Appartement;20.96
372;1;30;Appartement;29.37
3;3;40;Appartement;40.16
5;1;24;Appartement;23.74
590;2;45;Appartement;44.82
39;4;57;Maison;51.13
12;2;25;Appartement;24.79
95;4;82;Appartement;83.19
105;4;79;Maison;76.51
293;5;94;Appartement;95.3
109;1;20;Appartement;50
197;4;92;Appartement;91.94
44;2;25;Appartement;25.57
133;1;35;Appartement;31
158;2;42;Appartement;41.58
353;3;67;Appartement;65.63
27;1;21;Appartement;20.52
119;3;66;Appartement;65.62
105;4;68;Appartement;67.92
474;4;77;Maison;87
242;2;44;Appartement;44.75
16;3;86;Appartement;83.83
244;3;56;Appartement;59.39
39;2;29;Appartement;28.86
118;3;67;Appartement;66.64
14;1;22;Appartement;21.5
28;5;148;Maison;167.94
15;1;38;Appartement;38.03
107;1;32;Appartement;24.43
306;2;53;Appartement;54.54
469;2;31;Appartement;36.69
77;4;63;Appartement;59.04
51;1;21;Appartement;22.13
39;3;35;Maison;29.6
247;1;27;Appartement;25.04
145;3;71;Appartement;62.66
128;1;19;Appartement;18.92
425;1;16;Appartement;16.03
835;2;44;Appartement;44.09
34;3;68;Appartement;48.51
996;2;60;Appartement;25.56
60;4;78;Appartement;79.41
189;2;43;Appartement;44.14
78;2;125;Appartement;125.47
82;2;50;Appartement;49.23
242;1;24;Appartement;24.82
759;1;19;Appartement;19.97
1;2;23;Maison;29.5
759;1;21;Appartement;21.63
317;2;36;Appartement;36.2
26;3;33;Maison;40.2
104;1;38;Appartement;35.04
77;3;50;Appartement;52.87
195;1;18;Appartement;16.79
2390;4;92;Appartement;91
23;4;54;Maison;44.77
225;2;31;Appartement;31.26
425;5;140;Maison;100.94
187;3;58;Appartement;58.53
1351;3;53;Appartement;52.22
50;2;28;Appartement;28.75
78;3;72;Appartement;59.19
357;3;45;Appartement;47.05
1;2;23;Maison;40.67
45;3;33;Maison;27.65
190;1;19;Appartement;19.19
132;1;24;Appartement;24.6
1202;1;19;Appartement;21.45
37;3;65;Appartement;62.36
73;1;16;Appartement;17.26
37;3;57;Appartement;58.32
884;3;82;Appartement;104.88
691;2;39;Appartement;34.26
351;2;47;Appartement;47.31
791;4;89;Maison;90.27
169;2;40;Appartement;40.05
184;4;90;Appartement;92.34
827;1;24;Appartement;22.86
286;3;96;Appartement;107.33
665;1;25;Appartement;25.84
355;2;30;Appartement;29.67
266;4;148;Appartement;152.73
1860;4;95;Appartement;82.71
466;1;45;Appartement;40.18
208;7;204;Maison;187.32
111;2;40;Appartement;39.08
155;3;67;Maison;62.3
77;6;91;Appartement;89.98
215;2;35;Appartement;35.81
728;2;27;Appartement;28.16
115;1;18;Appartement;18.22
115;1;18;Appartement;18.29
120;1;19;Appartement;18.09
1225;3;70;Appartement;11.5
468;2;29;Appartement;33.2
402;4;110;Appartement;107.22
87;2;45;Appartement;45.16
152;3;64;Appartement;64.62
250;2;30;Appartement;31.7
240;1;20;Appartement;20.79
45;2;21;Maison;44.29
257;1;40;Appartement;37.21
73;2;45;Appartement;45.28
1070;1;31;Appartement;31.29
190;1;18;Appartement;18.39
210;2;53;Appartement;51.19
34;3;65;Appartement;66.03
123;1;30;Appartement;29
145;2;32;Appartement;22.32
325;3;33;Appartement;35.08
753;2;30;Appartement;31.31
67;2;40;Appartement;56.93
219;6;115;Appartement;107.57
936;2;58;Appartement;59.25
186;5;108;Maison;107.27
205;2;38;Appartement;36.25
289;4;76;Appartement;64.79
298;3;64;Appartement;62.69
192;5;82;Maison;105.13
488;4;80;Maison;81.83
43;4;67;Maison;87.51
1;3;46;Maison;63.68
474;2;38;Appartement;38.3
1338;2;52;Appartement;48.55
496;3;34;Maison;30.08
158;1;25;Maison;33.01
45;3;47;Maison;56.01
228;2;24;Appartement;23.28
194;4;89;Maison;89.12
433;3;75;Appartement;73.21
181;1;19;Appartement;18.73
307;2;33;Appartement;32.65
390;3;50;Appartement;49.27
752;3;65;Appartement;65.82
138;4;81;Maison;83.86
1425;4;61;Appartement;56.62
145;2;29;Appartement;29.81
188;3;47;Appartement;37.16
108;4;67;Maison;77.74
1190;3;68;Appartement;67.03
